time_signature,track_popularity,speechiness,danceability,playlist_name,duration_ms,energy,playlist_genre,playlist_subgenre,mode,track_album_release_date,id,instrumentalness,valence,key,tempo,loudness,acousticness,liveness,track_album_name
4,23,0.0393,0.636,Rock Classics,138053,0.746,rock,classic,1,12/14/2005,5e6x5YRnMJIKvYpZxLqdpH,0.29,0.432,0,132.31,-3.785,0.0648,0.173,The Long Road Home - The Ultimate John Fogerty / Creedence Collection
4,53,0.0317,0.572,Rock Classics,241600,0.835,rock,classic,1,3/27/2015,5FqYA8KfiwsQvyBI4IamnY,0.000377,0.795,0,129.981,-6.219,0.171,0.0702,The Collection
4,55,0.0454,0.591,Rock Classics,329413,0.804,rock,classic,1,11/4/2016,5LNiqEqpDc8TuqPy79kDBu,5.98E-06,0.658,0,111.457,-7.299,0.327,0.0818,Bella Donna (Deluxe Edition)
4,64,0.101,0.443,Jazz Classics,185160,0.104,jazz,classic,1,5/3/2007,78MI7mu1LV1k4IA2HzKmHe,0,0.394,0,76.474,-17.042,0.913,0.191,"Love, Ella"
4,62,0.0298,0.685,Jazz Classics,205720,0.472,jazz,classic,0,1/1/2000,6MN6yRVriszuyAVlyF8ndB,0.284,0.475,9,80.487,-9.691,0.785,0.224,Shapes of Rhythm/Woman Is Sweeter
4,61,0.0566,0.67,Jazz Classics,147147,0.365,jazz,classic,1,4/17/2015,2dR5WkrpwylTuT3jRWNufa,0,0.45,0,119.347,-10.158,0.525,0.0575,Ultimate Sinatra
4,60,0.0914,0.663,Jazz Classics,354533,0.264,jazz,classic,1,5/20/1997,33jt3kYWjQzqn3xyYQ5ZEh,0,0.657,0,122.482,-14.571,0.706,0.1,The Complete Ella And Louis On Verve
4,55,0.0373,0.525,Jazz Classics,195533,0.222,jazz,classic,0,1/1/1990,1xUJ1mdLAysxNBtO9w3J2g,0.0799,0.645,10,156.364,-11.065,0.836,0.051,B. G. In Hi Fi
4,54,0.0363,0.336,Jazz Classics,190400,0.0619,jazz,classic,0,1/1/1992,3GOZbK2epuHzCt5YvvVFHO,0.891,0.197,5,60.705,-20.494,0.985,0.11,Quiet Kenny
4,53,0.0407,0.742,Jazz Classics,438280,0.671,jazz,classic,0,1/1/1999,1CDBaGlisZlOJzvx88lL8A,0.00441,0.591,5,127.359,-8.142,0.794,0.122,Song For My Father
3,53,0.0537,0.519,Jazz Classics,252947,0.0422,jazz,classic,1,3/21/2006,6rK27cC9hX0e1Chrnxo9Vn,0.929,0.397,1,130.436,-10.778,0.966,0.124,Boss Tenor (RVG Remasters / Remastered 2006)
4,53,0.0569,0.659,Jazz Classics,182360,0.113,jazz,classic,0,5/21/1996,2xm9ihELo6xwrRKrBbPql9,0.88,0.738,10,95.063,-16.756,0.976,0.179,Body & Soul
4,52,0.0336,0.505,Jazz Classics,295200,0.159,jazz,classic,0,1/1/2007,7ysmJhXFQtiBQlk6EZ6sks,0.0127,0.196,7,59.385,-11.235,0.946,0.212,Look Out! (Remastered)
4,50,0.0336,0.517,Jazz Classics,267173,0.0917,jazz,classic,1,9/22/2006,72PqmnVj86bfTnkFiQ9Mx9,0.629,0.0836,0,95.068,-18.395,0.876,0.108,Tuesday Wonderland
4,49,0.0331,0.412,Jazz Classics,372493,0.195,jazz,classic,1,8/16/1994,1czzmAtPTw287TyMQEfCfg,0.709,0.0778,8,133.918,-10.288,0.9,0.106,Approaching Standards
4,49,0.06,0.417,Jazz Classics,287844,0.42,jazz,classic,0,9/18/2020,1ZXu0ib26kWfQQngREMcU2,0.00111,0.517,0,147.143,-13.046,0.186,0.185,Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster]
4,49,0.0627,0.517,Jazz Classics,354573,0.273,jazz,classic,0,4/2/2001,1GZD0TZJHmdQaZsucHBmWT,0.774,0.321,10,63.423,-17.279,0.866,0.979,On Time
3,49,0.0321,0.477,Jazz Classics,280481,0.237,jazz,classic,0,4/15/2016,2qswPLZD9CbUoSidGNyxwm,0.901,0.178,4,126.222,-17.115,0.947,0.0974,Gilles Peterson - Magic Peterson Sunshine
4,60,0.0446,0.234,Classical Essentials,139307,0.126,classical,essential,1,3/29/2019,4SFBV7SRNG2e2kyL1F6kjU,0.896,0.216,0,133.998,-25.427,0.989,0.102,Piano Book (Deluxe Edition)
3,63,0.0446,0.289,Classical Essentials,212067,0.0306,classical,essential,0,2015,3zLTPuucd3e6TxZnu2dlVS,0.911,0.118,9,125.61,-30.79,0.987,0.102,"Für Elise, Bagatelle No. 25 in A Minor, WoO 59"
3,65,0.0442,0.169,Classical Essentials,174267,0.0161,classical,essential,0,9/18/2015,0jOnZhF75V68VsBObWx2XO,0.86,0.0573,9,128.143,-31.034,0.986,0.0805,Songs from the Arc of Life
3,63,0.0606,0.0939,Classical Essentials,207267,0.0336,classical,essential,0,2002,1upQiytDIEZfl9ItruoXuC,0.83,0.0516,2,67.359,-24.041,0.927,0.0954,Handel Sarabande
